id,department,menu_path,data_name,keywords,description,output_type,unit,detail_columns
1,생산관리팀,생산관리 > 원가관리 > 제품별 원가 조회,제품별 원가,원가|제품원가|원가보고서|원가율|원가데이터,매월 제품별 원가 보고서 작성 시 조회하는 항목별 원가 데이터입니다,both,원,-
2,생산관리팀,생산관리 > 자재관리 > 원자재 단가 조회,원자재 단가,원자재|단가|재료비|자재단가|원재료|원자재가격,제품 생산에 사용되는 원자재의 단가 정보입니다,both,원/kg,-
3,설계팀,설계관리 > 도면관리 > 설계 변경 이력,설계 변경 이력,설계|도면|변경이력|설계변경|도면번호,제품 설계 변경 사항 및 이력을 관리합니다,table,-,변경일|도면번호|변경내용|담당자
4,품질관리팀,품질관리 > 불량현황 > 공정별 불량률,공정별 불량률,불량|불량률|품질|불량현황|공정불량|불량건수,공정별 및 제품별 불량 발생률 통계입니다,both,%,-
5,생산관리팀,생산관리 > 생산실적 > 월별 생산실적,월별 생산실적,생산실적|생산량|월별생산|가동률|생산현황,월별 제품 생산 수량 및 가동률 데이터입니다,both,EA,-
6,경영지원팀,경영지원 > 매출관리 > 공장별 매출액,공장별 매출액,매출|매출액|공장매출|매출현황|매출데이터,공장별 및 부문별 매출액 집계 데이터입니다,both,원,-
7,자재구매팀,구매관리 > 발주현황 > 구매 발주 현황,구매 발주 현황,구매|발주|구매현황|발주현황|자재구매|발주서,자재 및 부품 구매 발주 진행 현황입니다,table,-,발주번호|품목|수량|상태
8,자재구매팀,자재관리 > 재고관리 > 재고 현황,재고 현황,재고|재고량|재고현황|창고|입출고,품목별 실시간 재고 수량 현황입니다,both,EA,-
9,인사팀,인사관리 > 인사정보 > 직원 인사정보,직원 인사정보,인사|인사정보|직원정보|근태|사원정보,부서별 직원 인사 및 근태 정보입니다,table,-,부서|인원수|평균근속연수|최근입사일
10,경영지원팀,경영지원 > 협력사관리 > 협력사 계약 현황,협력사 계약 현황,협력사|계약|외주|협력업체|납품업체,협력사 계약 조건 및 계약 기간 현황입니다,table,-,협력사명|계약기간|계약금액|상태
11,경영지원팀,경영지원 > 재무관리 > 세금계산서 현황,세금계산서 현황,세금계산서|매입|매출전표|전표|증빙,매입 및 매출 세금계산서 발행 현황입니다,table,-,발행일|거래처|금액|구분
12,기획팀,경영기획 > 임원보고 > 분기 경영보고서,분기 경영보고서,경영보고|분기보고|임원보고|경영실적|영업이익,분기별 종합 경영 실적 보고서입니다,both,원,-
13,품질관리팀,품질관리 > 검사관리 > 수입검사 결과,수입검사 결과,수입검사|검사결과|입고검사|자재검사|검사데이터,원자재 입고 시 수입검사 결과 데이터입니다,table,-,검사일|자재명|결과|담당자
14,생산관리팀,생산관리 > 설비관리 > 설비 가동 현황,설비 가동 현황,설비|가동률|설비가동|장비현황|설비현황|장비|보유장비,생산 설비별 가동률 및 가동 현황입니다,both,%,-
